,category,titles,pageids
0,Arts & Entertainment,"['Alchemy in art and entertainment', 'Entertainment technology', 'Entertainment', 'Entertainment journalism', 'Fine art', 'Entertainment law', 'Video art', 'Video games as an art form', 'Contemporary art', 'History of art', 'Endurance art', 'Entertainment management', 'Mobile entertainment', 'Entertainment Industries', 'Surveillance art', 'Best of Microsoft Entertainment Pack', 'Interactive art', 'Entertainment robot', 'Entertainment Corridor', 'World Entertainment News Network']","['10619519', '347209', '63380', '16093772', '9262', '23971645', '27773866', '15528045', '216003', '8957966', '1451221', '3720589', '90317', '18985263', '148121', '14919220', '22576725', '32622', '7763396', '18077978']"
1,Arts & Entertainment>Celebrities & Entertainment News,"['Entertainment journalism', 'Entertainment Weekly', 'Celebrity sex tape', 'Celebrity worship syndrome', 'Outline of entertainment', 'News', 'Ici Paris', 'African Entertainment', 'Kids News Network', 'Celebrity Juice', 'Showbiz Tonight', 'Entertainment Spotlight', 'Daytime Emmy Award for Outstanding Entertainment News Program', 'News Corporation', 'Celebrity Poker Showdown', 'Naked News', 'Celebrity photography', 'Donegal News', 'Famous for being famous', 'Syco']","['53864479', '19798769', '972209', '2722576', '623515', '5693654', '53128367', '6762740', '6031640', '541239', '15528045', '9396685', '32451772', '1159605', '21813', '20781999', '113422', '9988', '4525098', '11981309']"
2,Arts & Entertainment>Comics & Animation,"['Motion comic', 'History of animation', 'Flash animation', 'Limited animation', 'Traditional animation', 'Disney Television Animation', 'Daewon Media', 'Cartoonist', 'Original video animation', 'Comic book convention', '20th Century Fox Animation', 'Superheroes in animation', 'Weekly Comic Book Review', 'Model sheet', 'Pinscreen animation', 'Mobile comic', 'Stop motion', 'National Cartoon Museum', 'Webcomic', 'The Cartoon Museum']","['3303873', '184579', '49280474', '2785187', '2157619', '1649198', '323858', '76973', '8297639', '1163829', '21891124', '19203474', '113012', '440571', '27036', '2601614', '4358628', '498464', '161176', '27637290']"
3,Arts & Entertainment>Comics & Animation>Anime & Manga,"['Anime and manga fandom', 'Animerica', 'Manga cafe', 'Elfen Lied', 'Hoshin Engi', 'Crunchyroll Manga', 'From Impressionism To Anime', 'Lolicon', 'Anime Festival Wichita']","['8589052', '22330602', '924661', '40901656', '1027922', '25228508', '925115', '419038', '1024526']"
4,Arts & Entertainment>Comics & Animation>Cartoons,"['Cartoon', 'Editorial cartoon', 'Cartoon pornography', 'Cartoon physics', 'Animated cartoon', 'The Big Cartoon DataBase', 'Cartoon violence', 'Cartoon studio', 'Gag cartoon', 'Cartoon Network Racing', 'Animated series', 'Cartoonist', 'Weekday cartoon', 'Flash animation', 'World War II political cartoons', 'Older versions of cartoon characters', 'Cartoonito', 'Cartoon Network Hindi', 'Geo Cartoon', 'Legal status of drawn pornography depicting minors']","['36702', '235604', '7165', '54067399', '9345865', '538206', '3072072', '39030824', '26778610', '184579', '7047627', '205534', '1649198', '1871594', '32906431', '21347867', '2183052', '25045704', '3677836', '32154010']"
5,Arts & Entertainment>Comics & Animation>Comics,"['Comics', 'Comic book', 'Comic strip', 'Comic book convention', 'Comic book collecting', 'Comic Book Resources', 'Comic opera', 'Comic relief', 'Comic book archive', 'Comic strip formats', 'Comic magazine', 'Overstreet Comic Book Price Guide', 'Motion comic', 'Comic book death', 'Comic Relief Does Fame Academy', 'Hulk Comic', 'Comic fantasy', 'Comic book price guide', 'Comic Seer', 'Comic science fiction']","['6221120', '9878828', '37066853', '6231', '6609334', '1181663', '49280474', '1148117', '1868071', '7574', '65941', '690708', '313034', '66047', '5704', '7997317', '145443', '2801421', '21891124', '1867989']"
6,Arts & Entertainment>Entertainment Industry,"['Outline of entertainment', 'Sex industry', 'Entertainment', 'Video game industry', 'Entertainment law', 'Entertainment journalism', 'Family entertainment center', 'Entertainment Industries', 'Entertainment Merchants Association', 'Outline of industry', 'Entertainment management', 'Entertainment industry during World War II', 'Music industry', 'Mobile entertainment', 'Entertainment Weekly', 'Cultural industry', 'ABC Entertainment', 'Entertainment Tonight', 'Film industry', 'Industry']","['2772172', '1152274', '9262', '27773866', '6313394', '642597', '541239', '34202871', '15528045', '216003', '8957966', '2529054', '649481', '14543', '14919220', '1946204', '9988', '6587138', '20603860', '372478']"
7,Arts & Entertainment>Entertainment Industry>Film & TV Industry,"['Film industry', 'TV Parental Guidelines', 'Television film', 'Food industry', 'Flashpoint Film Festival', 'Nordisk Film', 'SPAA Fringe', 'Film studies', 'Film distributor', 'Panafrican Film and Television Festival of Ouagadougou', 'International Film Institute', 'Television', 'Film promotion', 'Star Maa', 'Short film', 'Film criticism', 'Music industry', 'The Bottle Yard Studios', 'Dodge College of Film and Media Arts', 'Sponsored film']","['34900439', '11065202', '1870213', '649481', '20460', '954079', '17628156', '2437974', '23193805', '1946204', '1024421', '1830664', '22938546', '498104', '11438604', '11580743', '2260940', '29831', '164342', '43999992']"
8,Arts & Entertainment>Entertainment Industry>Film & TV Industry>Film & TV Awards,"['Television film', 'Sab Ke Anokhe Awards', 'Asianet Film Awards', 'PMPC Star Awards for Television', 'Boroplus Gold Awards', '25th Academy Awards', 'International Indian Film Academy Awards', 'The Official Star Wars Fan Film Awards', 'Udaya Film Awards', 'CAMIE Awards', 'National Film Award for Best Feature Film in Kannada', 'National Film Award for Best Film on Social Issues', 'ARY Film Awards', 'Asian Television Awards', 'Altazor Award', 'Sexual Freedom Awards']","['1625017', '42399818', '26910239', '2794268', '17695642', '54559870', '17928876', '3992437', '4744863', '4748116', '29350604', '41085200', '19467509', '164342', '1181000', '33892348']"
9,Arts & Entertainment>Entertainment Industry>Film & TV Industry>Film & TV Production,"['Kemps Film and TV Production Services Handbook', 'Production designer', 'Television film', 'Film producer', 'Filmmaking', 'The Bottle Yard Studios', 'Tsuburaya Productions', 'Television studio', 'Universal Television', 'Film and TV School of the Academy of Performing Arts in Prague', 'Video production', 'Dragonfly Film and Television Productions', 'Film still', 'Television program', 'National Film and Television School', 'Flashpoint Film Festival', 'Apple Film Production', 'Back to back film production', 'Tiger Aspect Productions', 'Television crew']","['22873066', '22428249', '38706992', '15753881', '211405', '5653527', '933117', '17628156', '7757061', '408128', '555539', '2350364', '164342', '19508643', '1555089', '43999992', '1800164', '2040302', '959389', '1553972']"
